Price,Close,High,Low,Open,Volume
Ticker,IAGR11.SA,IAGR11.SA,IAGR11.SA,IAGR11.SA,IAGR11.SA
Date,,,,,
2023-02-13,3.771902084350586,3.7730340258446193,3.771902084350586,3.7730340258446193,10763
2023-02-15,3.5470070838928223,3.7715250222552075,3.5470070838928223,3.7715250222552075,5183
2023-02-16,3.7703933715820312,3.7703933715820312,3.7703933715820312,3.7703933715820312,188
2023-02-17,3.7703933715820312,3.7703933715820312,3.5847413530623773,3.697943605894756,467
2023-02-22,3.7703933715820312,3.7703933715820312,3.7703933715820312,3.7703933715820312,539
2023-02-23,3.7696382999420166,3.769638299942017,3.769638299942017,3.769638299942017,872
2023-02-24,3.7696382999420166,3.769638299942017,3.769638299942017,3.769638299942017,539
2023-02-27,3.7696382999420166,3.770392927559605,3.769638299942017,3.770392927559605,260
2023-02-28,3.7696382999420166,3.769638299942017,3.585118244712156,3.585118244712156,1538
2023-03-01,4.290833473205566,4.294274197820132,4.290833473205566,4.294274197820132,287
2023-03-03,4.234928607940674,4.294703155773664,4.234928607940674,4.294703155773664,11231
2023-03-06,4.294705867767334,4.294705867767334,4.184188509963608,4.188488494662376,665
2023-03-07,4.257291793823242,4.2942742318123654,4.257291793823242,4.2942742318123654,1079
2023-03-08,4.292123794555664,4.292123794555664,4.29169379625743,4.29169379625743,944
2023-03-09,4.291693210601807,4.292123208841361,4.291693210601807,4.291693210601807,4130
2023-03-10,4.292123794555664,4.292123794555664,4.29169379625743,4.29169379625743,224
2023-03-13,4.290403842926025,4.292124205380878,4.216008593752014,4.292124205380878,4139
2023-03-14,4.27836275100708,4.292123803872181,4.0861398546811,4.290403441578261,15263
2023-03-15,4.288683891296387,4.288683891296387,4.277503196168852,4.277933194512427,107
2023-03-16,4.288254261016846,4.2886842593973284,4.288254261016846,4.2886842593973284,26
2023-03-17,4.291263580322266,4.292123946046352,4.235359739508999,4.288253592128393,3302
2023-03-20,4.291693210601807,4.292123208841361,4.24955006125061,4.292123208841361,287
2023-03-21,4.291693210601807,4.291693210601807,4.291693210601807,4.291693210601807,233
2023-03-22,4.291693210601807,4.292123208841361,4.1282820684604875,4.291693210601807,6893
2023-03-23,4.292123794555664,4.292123794555664,4.149784392214541,4.150644388811008,3131
2023-03-24,4.1540846824646,4.2916941137037945,4.1540846824646,4.2916941137037945,1646
2023-03-27,4.291263580322266,4.291263580322266,4.214288714860094,4.291263580322266,26
2023-03-28,4.291693210601807,4.291693210601807,4.154513806559345,4.29126284326505,242
2023-03-29,4.291263580322266,4.291263580322266,4.291263580322266,4.291263580322266,8
2023-03-30,4.294705867767334,4.294705867767334,4.158816385656481,4.290835143343645,10673
2023-03-31,4.293413162231445,4.2947035260348905,4.293413162231445,4.2947035260348905,260
2023-04-04,4.291263580322266,4.291263580322266,4.291263580322266,4.291263580322266,197
2023-04-05,4.757396697998047,4.8912076671491205,4.730439131435983,4.8912076671491205,134
2023-04-06,4.850034713745117,4.850034713745117,4.850034713745117,4.850034713745117,53
2023-04-10,4.8230767250061035,4.850034287085281,4.798568894254169,4.850034287085281,9449
2023-04-11,4.827978610992432,4.875523094755145,4.82062647098874,4.823077464789467,107
2023-04-12,4.827978610992432,4.876993859315279,4.827978610992432,4.827978610992432,1349
2023-04-13,4.8769941329956055,4.8769941329956055,4.77945416619584,4.8765035976485365,35
2023-04-17,4.876502990722656,4.876993526008673,4.75445562392574,4.876993526008673,1880
2023-04-18,4.803471088409424,4.823077355574291,4.755436070414888,4.755436070414888,647
2023-04-19,4.8769941329956055,4.8769941329956055,4.8769941329956055,4.8769941329956055,17
2023-04-20,4.8769941329956055,4.8769941329956055,4.8769941329956055,4.8769941329956055,8
2023-04-24,4.876502990722656,4.876993526008673,4.876502990722656,4.876993526008673,161
2023-04-25,4.876502990722656,4.876502990722656,4.876502990722656,4.876502990722656,8
2023-04-26,4.8769941329956055,4.8769941329956055,4.8769941329956055,4.8769941329956055,8
2023-04-27,4.876502990722656,4.876993526008673,4.876502990722656,4.876993526008673,188
2023-04-28,4.8769941329956055,4.8769941329956055,4.803471466735114,4.803471466735114,4418
2023-05-03,5.665977478027344,5.665977478027344,5.665977478027344,5.665977478027344,8
2023-05-04,5.662557125091553,5.663697192964722,5.368398084635075,5.643745026585222,1097
2023-05-05,5.65229606628418,5.662557166517289,5.643745067873334,5.662557166517289,107
