Date,Close,High,Low,Open,Volume,Mount
2023-02-14,7.4088287353515625,7.4088287353515625,7.363881028823981,7.378863835806361,89707,2023-02
2023-02-15,7.431301593780518,7.431301593780518,7.386353891109566,7.408828099654791,81663,2023-02
2023-02-16,7.4013352394104,7.44628221881135,7.378861749709925,7.431300130484153,102418,2023-02
2023-02-17,7.438794136047363,7.461267633615411,7.3788643329194965,7.3788643329194965,74722,2023-02
2023-02-22,7.438794136047363,7.453776229619526,7.3788643329194965,7.438794136047362,74910,2023-02
2023-02-23,7.416318416595459,7.46126611701495,7.348897937595413,7.438792624014935,142927,2023-02
2023-02-24,7.446282386779785,7.4537737883220485,7.393844004822687,7.431300298114631,54119,2023-02
2023-02-27,7.453774452209473,7.461265854418975,7.4238095577909,7.44628304999997,66214,2023-02
2023-02-28,7.468756675720215,7.4762473629276665,7.423808980378599,7.453773872466549,126102,2023-02
2023-03-01,7.446282386779785,7.476247278529466,7.416317495030104,7.468756591406575,149730,2023-03
2023-03-02,7.416318416595459,7.476248207541807,7.401336326068602,7.4462833120686325,298908,2023-03
2023-03-03,7.416318416595459,7.453774714541791,7.401336326068602,7.416318416595458,187112,2023-03
2023-03-06,7.416318416595459,7.453774714541791,7.393844923595443,7.416318416595458,134362,2023-03
2023-03-07,7.431301593780518,7.453775087906245,7.401336696806383,7.42381019093211,165876,2023-03
2023-03-08,7.400938987731934,7.454073702660538,7.400938987731934,7.438892665783593,134566,2023-03
2023-03-09,7.400938987731934,7.438892665783593,7.370576190071845,7.416120748515076,118002,2023-03
2023-03-10,7.393348693847656,7.416121336828903,7.370576774772665,7.370576774772665,75899,2023-03
2023-03-13,7.347804069519043,7.408529663159185,7.347804069519043,7.3933479027960605,86154,2023-03
2023-03-14,7.325031757354736,7.385757353717201,7.317441600739087,7.378167197101551,90370,2023-03
2023-03-15,7.317442417144775,7.355395376176062,7.287079615575971,7.34780521871358,101672,2023-03
2023-03-16,7.35539436340332,7.370576124050475,7.302259648950666,7.317441409597819,78456,2023-03
2023-03-17,7.35539436340332,7.40093892143859,7.332622446338782,7.355394363403321,113367,2023-03
2023-03-20,7.340215682983398,7.408532180013843,7.302261993087994,7.362987607358072,121103,2023-03
2023-03-21,7.317442417144775,7.362986257544836,7.287079615575971,7.317442417144775,160765,2023-03
2023-03-22,7.378169059753418,7.41612274803809,7.340215371468747,7.34780625390696,98373,2023-03
2023-03-23,7.393348693847656,7.408530455835154,7.302260293641436,7.302260293641436,105709,2023-03
2023-03-24,7.400938987731934,7.438892665783593,7.38575722694879,7.400938987731934,69355,2023-03
2023-03-27,7.4464826583862305,7.492026487493411,7.385756346399805,7.431300899413096,73713,2023-03
2023-03-28,7.423710346221924,7.446482985682554,7.378166515112949,7.393347550847226,76182,2023-03
2023-03-29,7.408529758453369,7.446483435943192,7.378166961242749,7.4237107951055865,92272,2023-03
2023-03-30,7.37057638168335,7.431301978582198,7.3402135832339255,7.408530060721684,86125,2023-03
2023-03-31,7.378169059753418,7.393350100723452,7.34780625390696,7.385759218285238,83911,2023-03
2023-04-03,7.385757923126221,7.416121447554556,7.355395122604152,7.385757923126221,113134,2023-04
2023-04-04,7.416119575500488,7.431300609976235,7.3629841450701665,7.393346937927744,83309,2023-04
2023-04-05,7.416119575500488,7.431300609976235,7.3857560587368285,7.3857560587368285,62748,2023-04
2023-04-06,7.438892841339111,7.438892841339111,7.416120923533184,7.431301960768398,76534,2023-04
2023-04-10,7.438892841339111,7.438892841339111,7.400939162391757,7.431301960768398,97774,2023-04
2023-04-11,7.423491954803467,7.438893007959053,7.3849882203180215,7.438893007959053,115815,2023-04
2023-04-12,7.415791034698486,7.431192087799395,7.38498819409902,7.423491928447765,74684,2023-04
2023-04-13,7.415791034698486,7.454294769047231,7.392689087848299,7.423491928447765,78664,2023-04
