Nome,Data,url
EGAF,30/06/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=507672&cvm=true
EGAF,31/03/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=468485&cvm=true
EGAF,31/12/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=416721&cvm=true
EGAF,30/09/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=376021&cvm=true
EGAF,30/06/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=340857&cvm=true
EGAF,31/03/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=305272&cvm=true
EGAF,31/12/2021,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=307086&cvm=true
FGAA,28/06/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=704327&cvm=true
FGAA,31/03/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=666955&cvm=true
FGAA,29/12/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=604997&cvm=true
FGAA,29/09/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=551319&cvm=true
FGAA,30/06/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=504351&cvm=true
FGAA,31/03/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=492284&cvm=true
FGAA,30/09/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=492286&cvm=true
FGAA,30/12/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=492287&cvm=true
FGAA,30/06/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=492289&cvm=true
FGAA,31/03/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=492288&cvm=true
FGAA,30/06/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=492285&cvm=true
FGAA,31/03/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=460302&cvm=true
FGAA,30/12/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=414393&cvm=true
FGAA,30/09/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=371469&cvm=true
FGAA,30/06/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=329207&cvm=true
FGAA,31/03/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=302294&cvm=true
FLEM,30/06/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=718847&cvm=true
FLEM,31/03/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=663945&cvm=true
FLEM,31/12/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=623519&cvm=true
FLEM,30/09/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=556093&cvm=true
FLEM,30/06/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=507811&cvm=true
FLEM,31/03/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=465242&cvm=true
FZDB,30/06/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=730884&cvm=true
FZDB,31/03/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=663896&cvm=true
FZDB,31/12/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=603424&cvm=true
FZDB,30/09/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=556066&cvm=true
FZDB,30/06/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=507789&cvm=true
FZDB,31/3/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=465306&cvm=true
GCRA,30/06/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=718035&cvm=true
GCRA,31/03/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=662657&cvm=true
GCRA,31/12/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=602169&cvm=true
GCRA,30/06/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=559331&cvm=true
GCRA,30/09/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=552579&cvm=true
GCRA,30/06/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=506313&cvm=true
GCRA,31/03/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=464149&cvm=true
GCRA,31/12/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=413922&cvm=true
GCRA,30/09/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=377567&cvm=true
GCRA,31/03/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=371734&cvm=true
GCRA,30/09/2021,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=371729&cvm=true
GCRA,30/06/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=371735&cvm=true
GCRA,31/12/2021,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=371731&cvm=true
GCRA,30/06/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=337742&cvm=true
GCRA,31/03/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=299157&cvm=true
