,ticker,Data da Informação sobre detalhamento do número de cotistas¹,Número de cotistas,Pessoa física,Pessoa jurídica não financeira,Banco comercial,Corretora ou distribuidora,Outras pessoas jurídicas financeiras,Investidores não residentes,Entidade aberta de previdência complementar,Entidade fechada de previdência complementar,Regime próprio de previdência dos servidores públicos,Sociedade seguradora ou resseguradora,Sociedade de capitalização e de arrendamento mercantil,Fundos de investimento imobiliário,Outros fundos de investimento,Cotistas de distribuidores do fundo (distribuição por conta e ordem),Outros tipos de cotistas não relacionados,Ativo – R$,Patrimônio Líquido – R$,Número de Cotas Emitidas,Valor Patrimonial das Cotas – R$,Despesas com a taxa de administração em relação ao patrimônio líquido do mês (%),Despesas com o agente custodiante em relação ao patrimônio líquido do mês (%),Rentabilidade Efetiva Mensal (%),Rentabilidade Patrimonial do Mês de Referência² (%),Dividend Yield do Mês de Referência³ (%),Amortizações de cotas do Mês de Referência⁴ (%),Informações do Ativo,"Total mantido para as Necessidades de Liquidez (art. 46, § único, ICVM 472/08)",Disponibilidades,Títulos Públicos,Títulos Privados,Fundos de Renda Fixa,Total investido,Direitos reais sobre bens imóveis,Terrenos,Imóveis para Renda Acabados,Imóveis para Renda em Construção,Imóveis para Venda Acabados,Imóveis para Venda em Construção,Outros direitos reais,Ações,Debêntures,"Bônus de Subscrição, seus cupons, direitos, recibos de subscrição e certificados de desdobramentos",Certificados de Depósitos de Valores Mobiliários,Fundo de Ações (FIA),Fundo de Investimento em Participações (FIP),Fundo de Investimento Imobiliário (FII),Fundo de Investimento em Direitos Creditórios (FIDC),Outras cotas de Fundos de Investimento,Notas Promissórias,Notas Comerciais,Ações de Sociedades cujo único propósito se enquadra entre as atividades permitidas aos FII,Cotas de Sociedades que se enquadre entre as atividades permitidas aos FII,Certificados de Potencial Adicional de Construção (CEPAC),"Certificado de Recebíveis Imobiliários ""CRI"" (se FIAGRO, Certificado de Recebíveis do Agronegócio ""CRA"")",Letras Hipotecárias,"Letras de Crédito Imobiliário ""LCI"" (se FIAGRO, Letras de Crédito do Agronegócio ""LCA"")",Letra Imobiliária Garantida (LIG),Outros Valores Mobiliários,Valores a Receber,Contas a Receber por Aluguéis,Contas a Receber por Venda de Imóveis,Outros Valores a Receber,Informações do Passivo,Rendimentos a distribuir,Taxa de administração a pagar,Taxa de performance a pagar,Obrigações por aquisição de imóveis,Adiantamento por venda de imóveis,Adiantamento de valores de aluguéis,Obrigações por securitização de recebíveis,Instrumentos financeiros derivativos,Provisões para contingências,Outros valores a pagar,"Provisões por garantias prestadas (fiança, aval, aceite ou outra coobrigação)",Total dos Passivos,Valor total dos imóveis objeto de ônus reais,Valor total das garantias prestadas com operacões da classe,"Valor total das garantias prestadas com operações de cotistas (art. 32, § 3º, Anexo normativo III)",Cédulas de Debêntures,Total do passivo,Certificado de Recebíveis Imobiliários (CRI),Letras de Crédito Imobiliário (LCI),Data,Ano_Quarter
697,RZAG,28/03/2024,87.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.411,"708.854.878,16","649.689.430,35","68.040.425,0000","9,548580","0,0000%","0,0000%","1,8310%","0,7234%",1.1076,"0,0000%",Valor (R$),"13.307.250,68","71.394,13","0,00","0,00","13.235.856,55","695.547.356,16","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","695.547.356,16","0,00","0,00","0,00","0,00","271,32","0,00","0,00","271,32",Valor (R$),"7.144.244,63","595.715,19","0,00","0,00","0,00","0,00","0,00","0,00","0,00","51.425.487,99",0,0,0,0,0,"0,00","59.165.447,81",0,0,2024-03-28 00:00:00,2024.0-1.0
698,RZAG,29/02/2024,87.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.887,"720.208.916,60","649.529.861,61","68.040.425,0000","9,546235","0,0000%","0,0000%","1,8590%","0,6987%",1.1603,"0,0000%",Valor (R$),"17.106.724,17","70.000,00","0,00","0,00","17.036.724,17","703.101.427,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","703.101.427,80","0,00","0,00","0,00","0,00","764,63","0,00","0,00","764,63",Valor (R$),"7.484.446,75","559.222,81","0,00","0,00","0,00","0,00","0,00","0,00","0,00","62.635.385,43",0,0,0,0,0,"0,00","70.679.054,99",0,0,2024-02-29 00:00:00,2024.0-1.0
699,RZAG,29/12/2023,85.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.482,"751.987.553,31","658.568.517,45","68.040.425,0000","9,679077","0,0000%","0,0000%","0,4521%","-0,7274%",1.1795,"0,0000%",Valor (R$),"21.733.484,40","21.733.484,40","0,00","0,00",0,"730.246.003,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","730.246.003,90","0,00","0,00","0,00","0,00","8.065,01","0,00","0,00","8.065,01",Valor (R$),"7.824.648,87","607.709,52","1.188.310,09","0,00","0,00","0,00","0,00","0,00","0,00","83.798.367,38",0,0,0,0,0,"0,00","93.419.035,86",0,0,2023-12-29 00:00:00,2023.0-4.0
700,RZAG,28/03/2024,87.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.411,"708.875.894,64","649.707.517,35","68.040.425,0000","9,548846","0,0000%","0,0000%","1,8338%","0,7262%",1.1076,"0,0000%",Valor (R$),"13.328.267,16","77.517,56","0,00","0,00","13.250.749,60","695.547.356,16","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","695.547.356,16","0,00","0,00","0,00","0,00","271,32","0,00","0,00","271,32",Valor (R$),"7.144.244,63","595.712,84","0,00","0,00","0,00","0,00","0,00","0,00","0,00","51.428.419,82",0,0,0,0,0,"0,00","59.168.377,29",0,0,2024-03-28 00:00:00,2024.0-1.0
701,RZAG,29/02/2024,87.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.887,"715.724.614,70","645.042.437,71","68.040.425,0000","9,480282","0,0000%","0,0000%","1,1633%","0,0030%",1.1603,"0,0000%",Valor (R$),"17.127.643,53","76.123,44","0,00","0,00","17.051.520,09","698.596.206,54","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","698.596.206,54","0,00","0,00","0,00","0,00","764,63","0,00","0,00","764,63",Valor (R$),"7.484.446,75","562.291,44","0,00","0,00","0,00","0,00","0,00","0,00","0,00","62.635.438,80",0,0,0,0,0,"0,00","70.682.176,99",0,0,2024-02-29 00:00:00,2024.0-1.0
702,RZAG,31/01/2024,87.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.712,"715.815.708,14","645.194.822,50","68.040.425,0000","9,482522","0,0000%","0,0000%","-1,6152%","-2,7434%",1.1282,"0,0000%",Valor (R$),"19.302.746,25","0,01","0,00","0,00","19.302.746,24","696.452.734,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","696.452.734,50","0,00","0,00","0,00","0,00","60.227,39","0,00","0,00","60.227,39",Valor (R$),"7.484.446,75","657.140,27","0,00","0,00","0,00","0,00","0,00","0,00","0,00","62.479.298,62",0,0,0,0,0,"0,00","70.620.885,64",0,0,2024-01-31 00:00:00,2024.0-1.0
703,RZAG,29/12/2023,85.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.482,"751.987.553,07","658.568.517,21","68.040.425,0000","9,679077","0,0000%","0,0000%","0,4521%","-0,7274%",1.1795,"0,0000%",Valor (R$),"21.740.765,87","4.999,97","0,00","0,00","21.735.765,90","730.246.003,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","730.246.003,90","0,00","0,00","0,00","0,00","783,30","0,00","0,00","783,30",Valor (R$),"7.824.648,87","607.709,52","1.188.310,09","0,00","0,00","0,00","0,00","0,00","0,00","83.798.367,38",0,0,0,0,0,"0,00","93.419.035,86",0,0,2023-12-29 00:00:00,2023.0-4.0
704,RZAG,30/11/2023,83.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.664,"746.994.773,20","663.515.813,29","68.040.425,0000","9,751788","0,0000%","0,0000%","2,8863%","1,6871%",1.1992,"0,0000%",Valor (R$),"29.256.196,90","3.969,01","0,00","0,00","29.252.227,89","717.732.076,52","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","717.732.076,52","0,00","0,00","0,00","0,00","6.499,78","0,00","0,00","6.499,78",Valor (R$),"7.824.648,87","602.002,44","0,00","0,00","0,00","0,00","0,00","0,00","0,00","75.052.308,60",0,0,0,0,0,"0,00","83.478.959,91",0,0,2023-11-30 00:00:00,2023.0-4.0
705,RZAG,31/10/2023,81.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.032,"726.027.600,54","652.835.338,37","68.040.425,0000","9,594816","0,0000%","0,0000%","2,0464%","0,7859%",1.2605,"0,0000%",Valor (R$),"19.133.427,54","145,71","0,00","0,00","19.133.281,83","706.864.576,98","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","706.864.576,98","0,00","0,00","0,00","0,00","29.596,02","0,00","0,00","29.596,02",Valor (R$),"8.164.851,00","625.587,39","0,00","0,00","0,00","0,00","0,00","0,00","0,00","64.401.823,78",0,0,0,0,0,"0,00","73.192.262,17",0,0,2023-10-31 00:00:00,2023.0-4.0
706,RZAG,29/09/2023,78.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.092,"720.614.522,86","647.791.521,89","68.040.425,0000","9,520686","0,0000%","0,0000%","1,2139%","-0,0977%",1.3116,"0,0000%",Valor (R$),"65.535.985,90","1.999,15","0,00","0,00","65.533.986,75","655.059.277,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","655.059.277,90","0,00","0,00","0,00","0,00","19.259,06","0,00","0,00","19.259,06",Valor (R$),"8.505.053,13","594.977,91","0,00","0,00","0,00","0,00","0,00","0,00","0,00","63.722.969,93",0,0,0,0,0,"0,00","72.823.000,97",0,0,2023-09-29 00:00:00,2023.0-3.0
